place_chart,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,inc_19to21,inc_10to21,rate21
Huron^Fresno County^,13,21,29,16,11,9,8,6,3,10,12,5,-50,-61.5,80.6
Kerman^Fresno County^,11,18,16,9,7,6,7,8,21,4,7,8,100,-27.3,50
Coalinga^Fresno County^,12,5,7,6,6,5,7,10,8,4,6,3,-25,-75,17
Fowler^Fresno County^,4,2,0,2,4,10,4,0,6,5,3,2,-60,-50,29.9
Clovis^Fresno County^,55,55,57,47,48,70,72,61,36,32,39,51,59.4,-7.3,42.5
Firebaugh^Fresno County^,2,4,5,3,2,1,3,2,5,2,2,3,50,50,37
Kingsburg^Fresno County^,2,4,6,2,5,8,8,4,7,3,3,2,-33.3,0,16.1
Sanger^Fresno County^,24,20,30,25,12,21,17,15,13,15,18,10,-33.3,-58.3,37.6
Mendota^Fresno County^,22,20,20,15,15,9,12,7,6,4,9,5,25,-77.3,39.7
Parlier^Fresno County^,20,92,16,18,8,8,13,16,18,9,10,12,33.3,-40,82.2
Selma^Fresno County^,41,36,45,35,20,34,28,17,16,25,17,21,-16,-48.8,85
Reedley^Fresno County^,15,29,15,25,20,16,19,14,10,12,11,13,8.3,-13.3,51.6
Orange Cove^Fresno County^,NA,NA,NA,8,1,5,3,6,5,2,4,1,-50,NA,10.4
City of Fresno^Fresno County^,1021,1020,1015,903,781,1012,1122,958,909,687,889,800,16.4,-21.6,147.6
Fresno Co. Sheriff's Department^Fresno County^,116,125,136,93,91,112,82,86,101,102,135,133,30.4,14.7,80
